,states
0,Connecticut
1,Idaho
2,Illinois
3,Indiana
4,Iowa
5,Kansas
6,Kentucky
7,Maine
8,Maryland
9,Mississippi
10,Missouri
11,Montana
12,Nebraska
13,Nevada
14,New Hampshire
15,New Mexico
16,North Carolina
17,North Dakota
18,Oklahoma
19,Oregon
20,Pennsylvania
21,South Carolina
22,South Dakota
23,Tennessee
24,Utah
25,Vermont
26,Virginia
27,West Virginia
